id,Y,T,X1,X2,X3,X4
0,25.89344323,0,1,44.5762712,1,-0.106001762
1,17.45799015,1,0,37.02042231,1,-0.135531865
2,13.88955782,0,0,30.69421463,1,0.815371408
3,27.15849977,1,1,43.28114241,0,-0.8361939
4,41.12180665,1,1,60.65385703,1,-1.050675959
5,28.91451955,0,0,48.93999392,1,-0.105716995
6,25.08275047,0,1,43.1047124,1,0.045616256
7,40.72010857,1,1,62.50102877,1,0.525010891
8,17.45546671,0,0,34.88528223,0,1.465629723
9,45.7591734,1,0,70.69775773,0,0.330245157
10,29.95474223,0,0,49.91946006,1,-0.203767025
11,27.34886214,0,1,45.50713777,1,-0.166525521
12,32.96398245,0,0,53.67771122,0,1.27884261
13,30.16755104,1,0,51.26359027,0,-0.374770202
14,28.78663167,1,0,49.7346335,1,-0.181111941
15,17.31318114,0,1,33.54157312,1,0.238200355
16,23.35796703,1,0,44.38413073,0,0.095072415
17,30.8363728,1,0,52.07126612,0,-0.247926682
18,27.33111199,0,1,46.04063853,1,1.120363242
19,43.10126502,0,1,65.76857948,1,0.878835059
20,20.10269152,1,1,38.83298238,1,-0.146193632
21,27.00541719,0,1,45.6396404,1,0.327789526
22,21.12195253,0,1,38.62251238,1,-0.159064519
23,38.63693131,0,1,60.13162091,1,0.223374984
24,31.85362833,0,1,52.08068623,0,-1.41286473
25,23.74155477,0,0,42.53736499,1,-0.358247421
26,22.56858046,1,0,38.59575903,0,0.839355648
27,21.18322387,0,0,38.93435146,1,1.529922484
28,30.70896782,1,0,50.87581258,0,0.538734685
29,26.27839822,0,1,45.39330369,1,-0.079928723
30,25.31473922,0,0,44.72482633,1,0.445024146
31,13.72325782,0,0,30.25580967,1,-2.203908148
32,23.17715972,0,0,41.19005382,1,1.725550525
33,32.19804967,0,0,53.47990432,1,1.338059781
34,17.01701075,1,0,35.99335263,0,-0.208561654
35,31.67706941,0,0,51.76730425,0,1.219034971
36,18.75720314,0,0,35.80778005,1,-0.362148676
37,26.19296036,0,1,44.7145099,1,0.550354671
38,31.11751733,0,1,50.82059737,0,-0.884962918
39,27.92676945,0,1,47.55509065,1,1.190213383
40,30.12465305,0,1,49.33151659,1,1.050261177
41,17.9640653,0,0,34.97137298,1,0.037093234
42,27.61982798,0,0,47.0572413,1,0.665843408
43,35.41017369,0,0,57.28921834,1,-0.201175785
44,23.32691634,0,1,40.83640228,1,-0.427051898
45,29.40172022,1,0,50.45484244,1,0.410345563
46,16.92314919,0,0,33.58275536,0,-0.639665415
47,23.6942698,0,1,41.09663586,1,1.465376385
48,31.89604348,0,1,52.12651013,0,0.084118598
49,40.90052653,1,1,56.5482905,1,1.547225802
50,25.83119715,1,0,47.28458271,0,-0.107701403
51,18.05679552,0,1,33.57734678,1,-1.413957858
52,21.29661301,0,1,37.7114908,1,1.542064913
53,21.36770824,0,1,39.15477815,0,0.48442342
54,27.73427302,0,0,48.61807497,1,0.730567918
55,17.96362366,0,0,35.3854218,0,1.254822985
56,30.14515737,0,0,50.69154872,1,-1.337544443
57,30.11427196,0,1,48.27991311,0,0.458257483
58,24.28044707,0,1,42.45817869,1,-0.899897306
